2023-06-13		10:51:06	fefa7fa7-85ed-4266-92a1-899acdce2f7b	 POST	http://localhost:5173	/auth/logout 
2023-06-13		10:51:06	6818be5e-d7b4-4781-a9c7-1876134b9be3	 GET	http://localhost:5173	/notes 
2023-06-13		10:51:11	cb380eca-b48e-4238-9f1d-4ce210c5dc35	 POST	http://localhost:5173	/auth 
2023-06-13		10:51:12	56f396ef-4484-403c-9bd4-aa2fe05831dd	 GET	http://localhost:5173	/notes 
2023-06-13		10:51:12	7bfbebdb-b29b-43c0-9f32-7a6dd0d61e1b	 GET	http://localhost:5173	/users 
2023-06-13		10:51:29	3cd9661a-0dac-41fc-9e90-e98d92c7b3a1	 POST	http://localhost:5173	/auth/logout 
2023-06-13		10:51:46	f6980567-84ec-40b9-b548-894d2808b3e1	 POST	http://localhost:5173	/auth 
2023-06-13		10:51:47	2a3f5283-3248-4c6b-b8f4-fe80cd37377b	 GET	http://localhost:5173	/notes 
2023-06-13		10:51:47	5d4bd730-f4c2-4fdc-8b33-18f1681ae1c2	 GET	http://localhost:5173	/users 
2023-06-13		10:51:56	a6c9194b-9b67-48c4-ab9d-c4ee24216654	 GET	http://localhost:5173	/notes 
2023-06-13		10:51:56	2081073a-b4ca-45b4-8c8f-ba12acf06357	 GET	http://localhost:5173	/users 
2023-06-13		10:52:00	7227ce9f-7f43-4b51-bab8-a38f2de736d0	 POST	http://localhost:5173	/auth/logout 
2023-06-13		10:52:00	8f47f02f-de16-4d0c-8d6e-92bfa003904e	 GET	http://localhost:5173	/notes 
2023-06-13		11:00:40	52fb3937-0ae2-4a42-b8dd-941347c25cf1	 POST	http://localhost:5173	/auth 
2023-06-13		11:00:41	4ea1adf0-5eae-483e-a4b6-d4849261c726	 GET	http://localhost:5173	/notes 
2023-06-13		11:00:41	03582507-de98-4adb-8e14-5004da3a5fc8	 GET	http://localhost:5173	/users 
2023-06-13		11:00:46	6741e1b8-8fdb-4627-89d0-6a728545d944	 GET	http://localhost:5173	/users 
2023-06-13		11:01:09	e4a1e0f8-9e4e-4560-b94f-2c37a43a5d7f	 GET	http://localhost:5173	/users 
2023-06-13		11:01:09	f4c585a6-4a73-4868-a281-976d6f1ce6a9	 GET	http://localhost:5173	/notes 
2023-06-13		11:01:09	317a04cb-36ff-4240-9c10-964274e53079	 GET	http://localhost:5173	/users 
2023-06-13		11:01:17	2444e241-908c-48b5-a89b-840d7aaddf40	 POST	http://localhost:5173	/auth/logout 
2023-06-13		11:01:17	841dd605-6caa-4ff1-a489-86de61466685	 GET	http://localhost:5173	/users 
2023-06-13		11:01:22	30c16c03-3235-4a5e-8720-6910f97d87ce	 POST	http://localhost:5173	/auth 
2023-06-13		11:01:23	5a327d1a-787f-43bf-87dd-3da2f6f8b90a	 GET	http://localhost:5173	/users 
2023-06-13		11:01:23	ad8040d3-eb35-4a9d-805f-e6de8d5c202e	 GET	http://localhost:5173	/notes 
2023-06-13		11:32:36	6b7bfc12-bc02-463f-9cfc-41dad7bc6155	 POST	http://localhost:5173	/auth 
2023-06-13		11:32:36	63989d1d-d025-4470-b8fa-09d128e61085	 GET	http://localhost:5173	/notes 
2023-06-13		11:32:36	a4a76b0b-31ee-4c97-83fe-f62eb6eacc83	 GET	http://localhost:5173	/users 
2023-06-13		11:33:04	d56003bc-772f-4900-a0fd-dc3666eaa13a	 POST	http://localhost:5173	/auth 
2023-06-13		11:33:04	d1b812c3-68cc-443d-a306-294ea10ce9f9	 GET	http://localhost:5173	/notes 
2023-06-13		11:33:50	78b03f5d-bd89-45c3-b63c-ddd69d6a5538	 POST	http://localhost:5173	/auth 
2023-06-13		11:33:55	a2fff6a3-f346-470a-9689-7adb127be07e	 GET	http://localhost:5173	/users 
2023-06-13		11:34:28	302a5d92-66b0-469f-8305-c76ce81272b8	 GET	http://localhost:5173	/users 
2023-06-13		11:34:28	6a1389b2-76fc-4b08-99ee-64f06dd35fd8	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		11:35:20	a87d9c63-334a-4293-a488-a248c1137b4b	 GET	http://localhost:5173	/users 
2023-06-13		11:35:20	c4e3a082-1562-4b7d-956a-d14913515189	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		11:35:21	742375bb-c31b-4f59-968a-0d5c99955f34	 GET	http://localhost:5173	/users 
2023-06-13		11:35:21	497b5b96-431c-4663-945a-645e78da5a60	 GET	http://localhost:5173	/auth/refresh 
2023-06-13		11:35:22	821793ba-f02f-4d6f-95e5-07678e2336d8	 POST	http://localhost:5173	/auth/logout 
2023-06-13		11:35:30	cc0d5178-8c9d-4faa-881e-be128c87eefd	 POST	http://localhost:5173	/auth 
2023-06-13		11:35:30	25d2ed68-0e1d-49bd-9a89-53443335fc1b	 GET	http://localhost:5173	/notes 
2023-06-13		11:35:30	4fa90ddf-a7bd-4151-a4a0-be7d8146f91a	 GET	http://localhost:5173	/users 
